WIDTH,WIDTH_OUT,ITER,XY_FRAC_INT,rot_cos_rmse,rot_cos_snr_db,rot_cos_ulp_mean,rot_cos_ulp_max,rot_sin_rmse,rot_sin_snr_db,rot_sin_ulp_mean,rot_sin_ulp_max,rot_z_resid_max_rad,vec_mag_rmse,vec_mag_snr_db,vec_mag_ulp_mean,vec_mag_ulp_max,vec_ang_rmse_rad,vec_ang_max_rad,vec_y_resid_mean,vec_y_resid_max,rot_ref_sat_cnt,vec_ref_sat_cnt
18,16,15,16,8.525992372173222e-05,78.36847488577726,2.2233009708737863,9,8.16177024768725e-05,78.75980049914448,2.0762829403606102,10,0.00019174759848570515,4.8021208455653956e-05,83.3718659485484,1.4175,4,0.00012741117550260056,0.0019733725344505126,3.797607421875e-05,0.0001220703125,5,0
20,16,15,17,8.272142995914669e-05,78.63101301670639,2.1539528432732316,9,8.012991914127174e-05,78.91959371522051,2.0665742024965326,9,0.00019174759848570515,3.354750872848102e-05,86.48732215527758,0.9757,3,0.0001235144745694453,0.0012114745211426747,3.4552001953125e-05,9.1552734375e-05,5,0
22,16,15,17,8.272142995914669e-05,78.63101301670639,2.1539528432732316,9,8.012991914127174e-05,78.91959371522051,2.0665742024965326,9,0.00019174759848570515,3.354750872848102e-05,86.48732215527758,0.9757,3,0.0001235144745694453,0.0012114745211426747,3.4552001953125e-05,9.1552734375e-05,5,0
24,16,15,18,8.178462974566343e-05,78.72993984335947,2.1262135922330097,9,7.95765950800543e-05,78.97978075247082,2.042995839112344,9,0.00019174759848570515,2.7431647521665358e-05,88.23548981150432,0.773,2,0.0001234446168232252,0.0012114745211426747,3.492431640625e-05,9.1552734375e-05,5,0
26,16,15,18,8.178462974566343e-05,78.72993984335947,2.1262135922330097,9,7.95765950800543e-05,78.97978075247082,2.042995839112344,9,0.00019174759848570515,2.7431647521665358e-05,88.23548981150432,0.773,2,0.0001234446168232252,0.0012114745211426747,3.492431640625e-05,9.1552734375e-05,5,0
26,18,15,18,8.17925263833444e-05,78.72910122597445,2.1276005547850207,9,7.964850889451723e-05,78.9719348100565,2.0471567267683772,9,0.00019174759848570515,2.7431647521665358e-05,88.23548981150432,0.773,2,0.0001234446168232252,0.0012114745211426747,3.492431640625e-05,9.1552734375e-05,0,0
